FIELD1,Оборот розничной торговли,Объем платных услуг населению,Фонд заработной платы,мешки бумажные. млн.шт.,Скот и птица (в живом весе). тыс.тонн,НДФЛ значения
2009,53440.3,15758.5,51718.7,316.00,12.20,4633271242.06
2010,60033.4,17128.8,54935.5,337.50,11.80,5071976900.53
2011,69919.6,20254.7,60180.00,351.70,11.70,5533844914.83
2012,78438.8,22655.6,67080.0,368.70,12.60,5901864384.86
2013,86819.8,25093.7,72633.2,407.60,12.10,7078488026.54
2014,97333.1,27318.4,74523.9,421.80,12.10,6848875168.12
2015,103880.9,28843.0,75642.5,395.20,11.50,7238028674.73
2016,107326.0,30795.6,76762.8,453.90,8.10,7678123844.12
2017,112645.0,33410.2,80426.1,427.00,5.50,8771476122.73
2018,121317.8,34583.4,90725.00,491.90,5.10,9174540606.23
2019,129121.6,37155.6,94964.9,515.3,3.8,10061200000